Timestamp,Sample_Number,TIVA_Voltage_Raw_V,TIVA_Voltage_Filtered_V,TIVA_Temperature_C
2025-10-21 00:01:23.740000,4188,0.393831,0.323130,36.32
2025-10-21 00:01:23.760000,4189,0.000458,0.000458,32.32
2025-10-21 00:01:23.780000,4190,0.343132,0.323032,33.31
2025-10-21 00:01:23.800000,4191,0.333231,0.304032,40.32
2025-10-21 00:01:23.820000,4192,0.343634,0.303232,30.32
2025-10-21 00:01:23.840000,4193,0.323100,0.413100,58.42
2025-10-21 00:01:23.860000,4194,0.323034,0.131032,32.35
2025-10-21 00:01:23.880000,4195,-0.313033,0.203130,32.39
2025-10-21 00:01:23.900000,4196,0.323834,0.383832,32.31
2025-10-21 00:01:23.920000,4197,0.323832,0.045841,0.04
2025-10-21 00:01:23.940000,4198,0.423232,0.313213,32.30
2025-10-21 00:01:23.960000,4199,0.353331,-0.323120,30.40
2025-10-21 00:01:23.980000,4200,0.394032,0.373439,37.31
2025-10-21 00:01:24.000000,4201,0.313032,0.310004,41.31
2025-10-21 00:01:24.020000,4202,0.045842,0.303431,13.10
2025-10-21 00:01:24.040000,4203,0.303235,0.303332,20.31
2025-10-21 00:01:24.060000,4204,0.403239,0.383437,39.32
2025-10-21 00:01:24.080000,4205,0.363231,0.303231,4.58
2025-10-21 00:01:24.100000,4206,0.310004,0.323230,31.32
2025-10-21 00:01:24.120000,4207,0.103230,0.333130,32.31
2025-10-21 00:01:24.140000,4208,0.313040,0.403238,38.35
2025-10-21 00:01:24.160000,4209,0.333032,0.303331,31.00
2025-10-21 00:01:24.180000,4210,0.584131,0.584232,30.34
2025-10-21 00:01:24.200000,4211,0.311310,0.323533,30.33
2025-10-21 00:01:24.220000,4212,0.312031,0.323940,38.34
2025-10-21 00:01:24.240000,4213,0.393937,0.323130,32.32
2025-10-21 00:01:24.260000,4214,0.000458,0.000458,32.32
2025-10-21 00:01:24.280000,4215,0.343131,0.323032,33.31
2025-10-21 00:01:24.300000,4216,0.333231,0.304032,40.32
2025-10-21 00:01:24.320000,4217,0.343935,0.363932,30.33
2025-10-21 00:01:24.340000,4218,0.323100,0.413100,58.42
2025-10-21 00:01:24.360000,4219,0.323034,0.131032,32.35
2025-10-21 00:01:24.380000,4220,-0.313033,0.203130,32.39
2025-10-21 00:01:24.400000,4221,0.323934,0.303333,32.31
2025-10-21 00:01:24.420000,4222,0.333432,0.045841,0.04
2025-10-21 00:01:24.440000,4223,0.423232,0.313113,32.30
2025-10-21 00:01:24.460000,4224,0.353331,-0.323120,30.40
2025-10-21 00:01:24.480000,4225,0.394032,0.303530,33.32
2025-10-21 00:01:24.500000,4226,0.313033,0.310004,41.31
2025-10-21 00:01:24.520000,4227,0.045842,0.303431,13.10
2025-10-21 00:01:24.540000,4228,0.303235,0.303332,20.31
2025-10-21 00:01:24.560000,4229,0.403239,0.393431,31.31
2025-10-21 00:01:24.580000,4230,0.353231,0.363231,4.58
2025-10-21 00:01:24.600000,4231,0.310004,0.323230,31.31
2025-10-21 00:01:24.620000,4232,0.103230,0.333130,32.31
2025-10-21 00:01:24.640000,4233,0.313040,0.403239,31.35
2025-10-21 00:01:24.660000,4234,0.313339,0.303337,31.00
2025-10-21 00:01:24.680000,4235,0.584131,0.584232,30.34
